id,handle,geo_age_max,geo_age_min,pol_age_max,pol_age_min
12001,LTDOLLAR,6706.39460539461,-30.1848151848152,8264.707,-14.514
13047,IRWINSMT,7007.56193806194,-50.0519480519481,7439.336,-34.357
13097,GLIMML1,10998.5504495505,-43.8581418581419,11550.174,118.231
14410,TOWER1,8735.05494505494,-54.7382617382617,8813.84,1653.992
14443,TOWER4,482.622377622378,-55.8721278721279,427.577,-8.251
14889,TOWER6,1712.94205794206,-57.0809190809191,1842.84,550.978
17993,TOWER7,2229.71178821179,-56.9400599400599,2309.75,2161.011
14933,NELSONMI,7540.04645354645,-47.000999000999,7738.408,-49.456
15032,MUDLKMI,9836.76723276723,-50.3056943056943,9853.724,-46.302
15035,LILYMI,10673.4460539461,-43.9310689310689,10673.987,995.67
15309,ESOLDIER,9570.38661338661,-29.986013986014,10131.8,67.52
15311,GUARD,3202.88761238761,-28.8851148851149,3528.952,598.579
15316,TROUTLBG,3601.64835164835,-29.7422577422577,4621.479,-3.384
15487,COWDEN,2613.89010989011,-55.1298701298701,2447.439,59.773
15492,HICKSMI,2812.06993006993,-54.9280719280719,2679.973,18.078
15511,MORRIMI,2068.3016983017,-54.9200799200799,2209.334,25.832
15660,BUCKMI,6500.8951048951,-34.042957042957,7699.316,-35.999
15916,KERRMI,8354.26123876124,-45.1358641358641,10640.304,1213.295
15919,CROOKEDN,11573.5564435564,-45.3996003996004,12535.184,13.31
15922,JAYLAKE,10426.1948051948,-47.6303696303696,10436.451,69.333
17404,LORRAINE,10800.3291708292,-31.5554445554446,11219.418,-34.687
17406,PENEGOR,9683.8006993007,-36.4885114885115,9656.578,-36.047
20397,SRHODY,10547.1248751249,-51.021978021978,10494.163,-39.083
20512,MINDEN,3410.11938061938,-50.7622377622378,3400.877,-37.565
