"x","y","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"1219",-19000,1166000,1,0,0,1,0,0,0,0,1,0,0,0
"1220",-19000,1174000,0,0,0,0,0,0,0,0,0,0,0,0
"1221",-19000,1182000,0,0,0,0,0,0,0,0,0,0,0,0
"1222",-19000,1190000,0,0,0,0,0,0,0,0,0,0,0,0
"1223",-19000,1198000,0,0,0,0,0,0,0,0,0,0,0,0
"1224",-19000,1206000,0,0,0,0,0,0,0,0,0,0,0,0
"1225",-19000,1214000,0,0,0,0,0,0,0,0,0,0,0,0
"1226",-19000,1222000,0,0,0,0,0,0,0,0,0,0,0,0
"1227",-19000,1230000,0,0,0,0,0,0,0,0,0,0,0,0
"1228",-19000,1238000,0,0,0,2,0,0,0,0,2,0,0,0
"1229",-19000,1246000,0,0,0,0,0,0,5,0,1,0,0,0
"1230",-19000,1254000,1,0,0,1,0,0,4,0,1,0,0,0
"1231",-19000,1262000,0,0,0,0,0,0,0,0,0,0,0,0
"1232",-19000,1270000,2,0,0,6,0,0,7,0,14,0,0,0
"1233",-19000,1278000,1,0,0,9,0,0,4,0,0,0,0,0
"1234",-19000,1286000,1,0,0,4,0,0,3,0,0,0,0,0
"1235",-19000,1294000,1,0,0,1,0,0,3,0,5,0,0,0
"1239",-19000,1326000,0,0,0,4,0,0,0,0,0,0,0,0
"1240",-19000,1334000,1,0,0,16,0,2,4,0,15,0,0,0
"1241",-19000,1342000,9,0,0,15,0,1,8,0,29,0,0,0
"1242",-19000,1350000,3,0,0,5,0,1,2,0,9,0,0,0
"1243",-19000,1358000,0,0,0,0,0,0,0,0,0,0,0,0
"1244",-19000,1366000,0,0,0,0,0,0,0,0,0,0,0,0
"1245",-19000,1374000,0,0,0,0,0,0,1,0,1,0,0,0
"1246",-19000,1382000,1,0,0,0,0,0,3,0,5,0,0,0
"1247",-19000,1390000,4,0,0,4,0,0,8,0,2,0,0,0
"1248",-19000,1398000,0,0,0,6,0,0,13,0,2,0,0,0
"1249",-19000,1406000,5,0,0,3,0,0,8,0,0,0,0,0
"1250",-19000,1414000,1,0,0,2,0,0,6,0,2,0,0,0
"1251",-19000,1422000,1,0,0,3,0,0,3,0,5,0,0,0
"1360",-11000,854000,0,0,0,0,0,0,0,0,0,0,0,0
"1361",-11000,862000,0,0,0,0,0,0,0,0,0,0,0,0
"1362",-11000,870000,0,0,0,0,0,0,0,0,0,0,0,0
"1363",-11000,878000,0,0,0,0,0,0,0,0,0,0,0,0
"1364",-11000,886000,0,0,0,0,0,0,0,0,0,0,0,0
"1365",-11000,894000,0,0,0,0,0,0,0,0,0,0,0,0
"1366",-11000,902000,0,0,0,0,0,0,0,0,0,0,0,0
"1367",-11000,910000,0,0,0,0,0,0,0,0,0,0,0,0
"1368",-11000,918000,0,0,0,0,0,0,0,0,0,0,0,0
"1369",-11000,926000,0,0,0,0,0,0,0,0,0,0,0,0
"1370",-11000,934000,0,0,0,1,0,0,2,0,3,0,0,0
"1371",-11000,942000,0,0,0,0,0,0,2,0,0,0,0,0
"1372",-11000,950000,0,0,0,1,0,0,0,0,2,0,0,0
"1373",-11000,958000,0,0,0,0,0,0,0,0,0,0,0,0
"1374",-11000,966000,0,0,0,1,0,1,0,0,0,0,0,0
"1375",-11000,974000,0,0,0,0,0,0,0,0,0,0,0,0
"1376",-11000,982000,0,0,0,0,0,0,0,0,0,0,0,0
"1377",-11000,990000,0,0,0,0,0,0,0,0,0,0,0,0
"1378",-11000,998000,0,0,0,0,0,0,0,0,0,0,0,0
"1379",-11000,1006000,0,0,0,0,0,0,0,0,0,0,0,0
"1380",-11000,1014000,0,0,0,0,0,0,0,0,0,0,0,0
